,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
120,13.230921088137896,40.7,56.9,0.1,0.4325982941543582,27.3,15.3,20.8,16.2,23.0,10.1,0.4502801120448179,0
121,13.761239556706208,64.6,31.1,0.0,0.3775297083183291,17.9,8.1,25.6,14.2,24.0,4.6,0.7004620123203286,1
122,13.608947814565514,73.2,20.5,0.0,0.5072034576596767,18.8,10.3,26.3,13.7,19.8,4.1,0.7115495115878184,1
123,14.412172865823786,90.8,2.1,1.3,0.5062838271718191,20.2,8.1,27.5,12.9,19.2,8.5,0.7748105377120174,1
124,16.1270270430046,86.5,6.0,0.7,0.507852671585066,12.3,4.8,34.6,11.7,18.1,4.9,0.7366489618541767,1
125,13.95737415404762,90.2,0.1,0.4,0.4967624316338719,17.8,4.5,29.3,14.8,13.8,11.3,0.7640783254557731,1
126,13.999119179995295,94.7,0.2,0.4,0.5083669231708806,19.5,7.7,26.0,11.5,14.7,11.6,0.7641384778012685,1
127,15.41732511767992,69.4,24.4,0.5,0.5068327239488117,21.0,8.0,30.3,9.0,15.9,7.1,0.7167769092002405,1
128,15.409854963769895,58.7,35.1,0.5,0.5169292966417053,25.6,11.6,22.8,11.1,16.7,5.9,0.5854597977852672,1
129,12.857203471508166,54.4,40.8,0.5,0.5370619946091644,28.6,9.1,20.5,10.6,18.4,9.2,0.5463224893917963,1
130,13.145136088281756,90.9,0.3,1.0,0.5046914670493432,18.1,4.4,29.1,20.8,18.8,13.9,0.7812259553731726,1
131,13.057991722759176,63.4,33.4,1.4,0.4788930581613508,23.0,4.8,28.9,13.8,22.7,4.2,0.6336898395721925,1
132,12.947271652460348,94.3,0.0,0.5,0.496201570017726,17.8,4.0,27.8,16.1,25.0,15.4,0.7938323800049739,1
133,14.573292149952245,55.5,40.7,0.1,0.5263352202805809,26.0,8.3,30.5,9.8,23.2,5.5,0.5453234445817882,1
134,13.333155350310616,92.2,2.1,0.1,0.5042635658914729,17.8,6.5,28.7,15.1,17.1,8.7,0.7462462462462462,1
135,14.252517607762288,34.6,62.8,0.1,0.5281278819551184,33.0,15.7,25.9,10.3,27.1,7.0,0.386287358158862,0
136,13.411113715521363,87.6,2.8,0.7,0.502891765353897,17.3,5.1,26.9,18.9,17.8,9.2,0.820853743876837,1
137,14.556625795307005,87.4,5.6,0.1,0.5100008299443938,21.4,5.4,24.3,15.1,13.1,7.5,0.7827007009654807,1
138,14.302924464617952,88.0,0.5,0.5,0.5117257075004947,26.6,8.5,28.4,15.4,17.1,10.3,0.8205995567479295,1
139,15.951557926792594,84.7,2.9,1.0,0.5049390898188474,19.8,7.3,30.2,11.2,13.8,6.6,0.7328550583657587,1
140,13.020459141699511,85.0,13.4,0.0,0.502707907088699,16.8,7.6,28.1,12.3,14.7,8.5,0.7935061236115067,1
141,18.58361169006494,53.2,35.9,2.1,0.5206542988636826,17.3,5.9,41.2,6.8,19.4,4.7,0.371084463711369,0
142,14.096220996223424,95.1,0.9,0.0,0.5053100376841384,20.9,3.5,29.7,13.4,17.9,8.9,0.7798165137614679,1
143,14.703903573444665,40.4,55.3,0.5,0.4505395683453237,27.5,10.0,23.2,12.3,18.5,10.1,0.4537438768369489,0
144,16.826896011003818,85.9,6.4,1.1,0.5072772941540791,8.0,4.3,35.4,9.9,16.6,4.5,0.6872849845362616,1
145,13.369597346278676,84.5,0.2,3.5,0.5001889644746788,20.5,10.6,23.7,14.4,13.6,8.5,0.8269123394751535,1
146,12.952195219914133,93.5,0.2,1.3,0.4914826498422713,17.4,3.6,25.0,19.9,16.3,18.5,0.8310693998518153,1
147,16.958575370640077,70.4,6.7,4.3,0.5117853048790063,22.5,5.6,29.4,9.9,9.9,4.6,0.6507175037543801,1
148,14.070624122430266,58.3,4.8,0.4,0.4994769266534929,21.2,6.6,21.2,18.9,15.2,8.2,0.7388244245767548,1
149,14.05672237783092,93.9,0.4,0.4,0.5108268294114195,23.3,6.7,26.6,15.0,14.8,10.2,0.7794696770805986,1
150,13.603046739883828,94.9,0.1,0.1,0.4983524873422808,24.2,8.3,31.4,24.4,17.4,21.8,0.7712614870509608,1
151,15.28850564369429,61.1,32.7,0.5,0.5139923042326721,20.1,8.3,33.4,11.4,15.0,5.0,0.6240991125141462,1
152,14.031959603596103,93.7,0.4,0.1,0.5011641096053967,19.6,8.3,26.9,17.1,12.6,11.8,0.767586821015138,1
153,17.771096089583697,71.9,3.4,2.4,0.500011176531073,18.0,4.9,37.5,9.5,14.8,5.7,0.4964882943143813,1
154,16.264186000546427,88.4,4.0,0.7,0.5088938581556679,16.6,6.2,33.4,11.5,14.0,5.9,0.773081841432225,1
